place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChdDSUhNMG9nS0VJQ0FnSURUazdYd3ZRRRAB,5,We were there in early May so it was not busy. We rented a yurt which was great because rain came through. We also had medical equipment so having electricity was really nice although they don't guarantee it's reliability. Staff was very nice. Lots of areas to walk. The spring wildflowers and migrating warblers were wonderful.,a month ago,2024-05-27T13:15:21,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipMFRQSW4l1L36DpsEqnAq2l7LFW6HTmCyGBg9GC=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOje0ANOvAFqaGsBp-LcvUo5dZxa_g8W7JMM53x=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPd6ChHDRGivUufBpFebV5EWWCCkBYg1M7B4gBE=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNj_x9xSdUDPTwWbYvgqKBwFfFivz6tr-nG4zYi=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNEs95RyH1OCMEas92ChV5eVMDsInWD__KQAjJr=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPLvrBvFVF_bDDU15gdWxHwRzUQas1KhbNHr6-M=w150-h150-k-no-p""]"
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChdDSUhNMG9nS0VJQ0FnSUNMNXBMN3FBRRAB,5,I love camping here! It's a nice spot to relax and enjoy nature,a month ago,2024-06-18T18:49:14,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPqWVJTt5zNoDsNGwxsi-ZYY4bvru9oKHYghfhp=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM_BoaNF9h77lC39UrrT83-75ALCw64HxiRcmpq=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMM0yjzbq1ar1_CqFh6NdVfWkFvRsPtFpoejpJF=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN0v7zObVQhjgvyQ2jybW6rg2IJlE9nM6n2Q9KL=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNKP-duczsByFhwJGPl5ruyROWbD69Fb_9b9epn=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOmS9AIdbIKzm7VUT1rIXxL8uPf55hdJbfkQ5yA=w150-h150-k-no-p""]"
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChZDSUhNMG9nS0VJQ0FnSURybnRmSFdREAE,4,"Pros: Nice overall and the bathrooms have showers.

Cons: Campsites are a bit small, you're only allowed to park one car on-site (others can park in a lot at the entrance), and bathrooms are a bit far from some sites (about a 5 minute walk from the furthest away sites).",a week ago,2024-07-17T18:57:09,,,,0,,,False,,,[]
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChZDSUhNMG9nS0VJQ0FnSUNqemJfYkV3EAE,5,"Otter River is one of our favorite campgrounds. Clean bathrooms and showers (free hot showers). Friendly staff at the Ranger Station and the Nature Center. Lots of fun and educational afternoon programs at the Nature Center for our kids. Great fishing and sometimes swimming (the beach will be marked with a red flag if you can't swim that day). There's a gorgeous 3 mile nature trail that connects to Lake Dennison (also a great spot to visit, AMAZING BEACHES)

Overall, this campground has everything you could need to tent camp, hike, fish, swim and have a great time. 5 stars. 2 thumbs up.",3 months ago,2024-04-24T14:07:03,,,,0,,,False,,,[]
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChdDSUhNMG9nS0VJQ0FnSUNVeDVQbWhnRRAB,5,"We spent the past weekend in yurt 3 and loved it! Such a great price for the yurt and a beautiful state park. Every employee we interacted with was very nice. Park and facilities were clean and showers were free, hot and had great water pressure. Pond near the campground was closed to swimming due to elevated bacteria levels, but our campground pass got us into Lake Dennison for free. Lake Dennison was gorgeous. Would 100% come back!",4 years ago,2019-08-07T02:33:19,,,,4,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipNzRxSSLYznpE3iB9lOd4V9qAxoB8-gcaVh3caD=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOXbZUoVpXA_4FUBP2JeJAhqE4uqbrV4Xegbv3C=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM8ngYBHAy5L-RdfqIXThdD1VXN7eiMky9V0mNN=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPtYITf4iUGfQVWaiyjaSEsV_BCScEixZ4TjiX1=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOZ7lY9eMFv7JYcjK1DNqBbcYXp3TwEXEL1U9b2=w150-h150-k-no-p""]"
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChZDSUhNMG9nS0VJQ0FnSUNyb2JiN1FnEAE,2,"We were in spot 75, which was right on top of spot 74. The bathroom near us was closed and the road noise was LOUD all night because you're right next to the road in this area. The beach was closed when we visited, which was a big selling point for this campground over others. I wouldn't stay again. Almost all of the spots are either near the road or right on top of each other.",2 weeks ago,2024-07-08T01:25:13,,,,0,,,False,,,[]
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChdDSUhNMG9nS0VJQ0FnSUNnOG9MMDlnRRAB,4,Peaceful. The pond is little. There is a stream that runs through it so the top water is warm but its very cold water below that layer. The forest is nice is with walking trails. Decent bathrooms. Because its a smaller campground people are typically quiet. The only real downside is that its near a major road and during the day you can hear lots of cars but at night there's less traffic so its okay.,6 years ago,2018-07-20T21:23:38,,,,3,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipNyfz7gubJsgp2knupon0ewF14qVwlAyD92Cfc=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOKxNU1SiNEw2uz9SKYw_I-SyD7P4W_6l7c6yI=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM9WEGGdFthSGj-ENalRXy15gc8OR6zqrfbHLk=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNJR7Q2Mhokk2TxfKnwDzozWNZB2tlc9lwgy0g=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMmg3jOn6oKRUedoryKq8jJ3QQ4MgqH02-LMCA=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMifBiHau65vOM9v9vrR_6Gnd36qz6kYYgmeLo=w150-h150-k-no-p""]"
ChIJtb7uIkZc4YkRkdARm_gY51w,Otter River State Forest Entrance,ChZDSUhNMG9nS0VJQ0FnSURDbE5YWklREAE,5,"Easy in, easy out, well maintained.. staff is super nice and friendly.. very clean and well maintained bathrooms/showers..

a little road noise from rt 202 but nothing over the top..

a smaller state park but perfect for a quick getaway..",3 years ago,2020-09-15T21:14:37,,,,5,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipOmZCIbamTWlfjaBKjlGci67V6HYu4djeC-tFz3=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMxj8lR-XdiAX5_k2FwSjsCRji48Ie8kdE5HLYf=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOh-R-whU7aQNiakQchSWVjZNRpDD9UXUZ2OGmz=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMmLZks8A2EllIsDAw_c_qFEz1SCs8xqJkfsd6L=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP_3iihXpDtu67OOZjcqHl41dDvYkdx4GKXXWIB=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMg_-PwxWDn74EwQvoqZ3WbpICDmFdqVu60VTpa=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPiLGB-CvzMA648ibLVUGuV44Z0cNad7wh5jl0E=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMc47_zd0ESIIf4gRXlyEDfXFm6rVt070ea_la5=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMD1CMP1cqV1HKiiXEcT1i-ONaPDPTHS_aiKX3s=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOsyMLYvJ1HFSEOUDP7uQSEEM1hh2Yr7NPoOI32=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNIevIPuIhFyrzU66Xmod-kZqHOWnihMrUlFiAF=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOJI0nOayExsqNu5ItlqJOCfbPBZkPTJio6Nl9g=w150-h150-k-no-p""]"
ChIJUf2f_hRc4YkRkrLRohfAyd0,Otter River,ChdDSUhNMG9nS0VJQ0FnSUREa2J1VXFRRRAB,4,Often not able to swim Huge snapping turtles. But it's a really fun place for fishing and swimming there's rainbow trout brown trout brook trout. And Brown bullhead Minnows and fallfish. And Bluegill. And smallmouth and largemouth Bass.,3 months ago,2024-04-10T20:09:37,,,,0,,,False,,,[]
ChIJUf2f_hRc4YkRkrLRohfAyd0,Otter River,ChdDSUhNMG9nS0VJQ0FnSUNRdjVESV9nRRAB,5,We love this place! the walk..the woods...it's all good!! We will go back,6 years ago,2018-04-12T00:10:21,,,,1,,,False,,,[]
