place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
ChIJY9Z5cqph5IkR53fewd-IZWk,Wading River,ChZDSUhNMG9nS0VJQ0FnSUQ2dk9qbkh3EAE,5,,2 years ago,2021-09-23T15:01:08,,,,0,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChdDSUhNMG9nS0VJQ0FnSUNHM2YtV3ZBRRAB,5,Love the drive out and the views are worth the trip.,2 years ago,2021-11-07T03:13:48,,,,0,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChZDSUhNMG9nS0VJQ0FnSUMwMmVLaEt3EAE,4,Great walking trails and some good fishing,4 years ago,2019-10-02T18:03:45,,,,0,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChdDSUhNMG9nS0VJQ0FnSUNzbnNXNXdRRRAB,5,"Big fan, beautiful views",4 years ago,2020-02-02T20:07:22,,,,1,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChZDSUhNMG9nS0VJQ0FnSUNlbm9TQWJ3EAE,5,Best place,a year ago,2022-09-14T17:41:06,,,,1,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChZDSUhNMG9nS0VJQ0FnSUNobEtxMU5REAE,5,,a year ago,2023-02-06T03:06:36,,,,0,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChZDSUhNMG9nS0VJQ0FnSURLdGNEWGZREAE,5,,3 years ago,2021-05-15T14:18:44,,,,0,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChZDSUhNMG9nS0VJQ0FnSUNDcl9PeUpnEAE,5,,3 years ago,2020-09-08T20:30:54,,,,0,,,False,,,[]
ChIJBbbxp_Nj5IkRCnmCKl0nXKg,Wading River,ChdDSUhNMG9nS0VJQ0FnSURNeGMtZnpBRRAB,5,,4 years ago,2020-01-05T21:33:03,,,,0,,,False,,,[]
ChIJv_Zb125h5IkRk-oGmq-CR2Q,Wading River Reservoir,ChdDSUhNMG9nS0VJQ0FnSUNEbThhR2dBRRAB,3,Drive by multiple times a week,3 months ago,2024-04-01T22:26:08,,,,0,,,False,,,[]
ChIJv_Zb125h5IkRk-oGmq-CR2Q,Wading River Reservoir,ChZDSUhNMG9nS0VJQ0FnSURBMG8zOGFnEAE,5,Ball fields well cared for,5 years ago,2018-08-27T01:12:06,,,,0,,,False,,,[]
ChIJv_Zb125h5IkRk-oGmq-CR2Q,Wading River Reservoir,ChZDSUhNMG9nS0VJQ0FnSUM4azd6MlB3EAE,5,,4 years ago,2020-07-12T23:22:37,,,,0,,,False,,,[]
ChIJv_Zb125h5IkRk-oGmq-CR2Q,Wading River Reservoir,ChZDSUhNMG9nS0VJQ0FnSURRM3RfblBnEAE,3,,7 years ago,2017-06-17T12:51:31,,,,0,,,False,,,[]
ChIJ2USZeiVg5IkR3AcGOR8ElE0,Wading River,ChZDSUhNMG9nS0VJQ0FnSUNZa29hMFhREAE,3,It's a small stream what do you expect?,5 years ago,2019-04-08T22:47:23,,,,0,,,False,,,[]
